year,state,crop,mean_yield_per_acre
2020,DELAWARE,Corn,150.2125
2020,FLORIDA,Corn,78.5
2020,GEORGIA,Corn,154.0
2020,IDAHO,Corn,174.33333333333334
2020,ILLINOIS,Corn,169.33333333333334
2020,INDIANA,Corn,160.0
2020,IOWA,Corn,160.08333333333334
2020,KANSAS,Corn,116.91666666666667
2020,KENTUCKY,Corn,154.66666666666666
2020,LOUISIANA,Corn,154.33333333333334
2020,MAINE,Corn,19.0
2020,MARYLAND,Corn,133.83333333333334
2020,MASSACHUSETTS,Corn,16.0
2020,MICHIGAN,Corn,137.91666666666666
2020,MINNESOTA,Corn,169.16666666666666
2020,MISSISSIPPI,Corn,152.66666666666666
2020,MISSOURI,Corn,144.5
2020,MONTANA,Corn,65.0
2020,NEBRASKA,Corn,158.33333333333334
2020,NEVADA,Corn,26.0
2020,NEW HAMPSHIRE,Corn,20.0
2020,NEW JERSEY,Corn,88.0
2020,NEW MEXICO,Corn,108.0
2020,NEW YORK,Corn,140.33333333333334
2020,NORTH CAROLINA,Corn,103.16666666666667
2020,NORTH DAKOTA,Corn,128.58333333333334
2020,OHIO,Corn,146.66666666666666
2020,OKLAHOMA,Corn,114.5
2020,OREGON,Corn,132.0
2020,OTHER STATES,Corn,106.76666666666667
2020,PENNSYLVANIA,Corn,127.16666666666667
2020,RHODE ISLAND,Corn,13.0
2020,SOUTH CAROLINA,Corn,115.16666666666667
2020,SOUTH DAKOTA,Corn,140.83333333333334
2020,TENNESSEE,Corn,145.66666666666666
2020,TEXAS,Corn,116.66666666666667
2020,UTAH,Corn,86.0
2020,VERMONT,Corn,19.0
2020,VIRGINIA,Corn,111.66666666666667
2020,WASHINGTON,Corn,202.33333333333334
2020,WEST VIRGINIA,Corn,81.5
2020,WISCONSIN,Corn,154.5
2020,WYOMING,Corn,71.0
2021,ALABAMA,Corn,139.33333333333334
2021,ARIZONA,Corn,104.5
2021,ARKANSAS,Corn,155.16666666666666
2021,CALIFORNIA,Corn,166.83333333333334
2021,COLORADO,Corn,114.25
2021,CONNECTICUT,Corn,17.0
2021,DELAWARE,Corn,155.2375
2021,FLORIDA,Corn,100.0
2021,GEORGIA,Corn,150.33333333333334
2021,IDAHO,Corn,180.66666666666666
2021,ILLINOIS,Corn,177.83333333333334
2021,INDIANA,Corn,165.16666666666666
2021,IOWA,Corn,169.66666666666666
2021,KANSAS,Corn,118.66666666666667
2021,KENTUCKY,Corn,158.83333333333334
2021,LOUISIANA,Corn,152.16666666666666
2021,MAINE,Corn,21.0
2021,MARYLAND,Corn,143.16666666666666
2021,MASSACHUSETTS,Corn,17.0
2021,MICHIGAN,Corn,147.25
2021,MINNESOTA,Corn,150.0
